0.435937,0.36,0.334638,0.473773
0.441146,0.3575,0.323884,0.451146
0.448958,0.354167,0.316458,0.429036
0.460417,0.3525,0.312365,0.40776
0.477083,0.3525,0.311646,0.387616
0.505729,0.3525,0.314493,0.368855
0.533854,0.3525,0.321003,0.351676
0.576042,0.365833,0.331453,0.336469
0.617708,0.390833,0.346011,0.323761
0.655729,0.4325,0.364688,0.314282
0.684896,0.4725,0.387261,0.308599
0.7,0.495,0.413206,0.306839
0.707292,0.51,0.44185,0.308912
0.709375,0.520833,0.472445,0.314592
0.709896,0.539167,0.504255,0.323746
0.707292,0.556667,0.536538,0.336178
0.703646,0.565833,0.568601,0.3515
0.696354,0.573333,0.599757,0.369283
0.686979,0.579167,0.629368,0.389066
0.672396,0.588333,0.656792,0.410457
0.651563,0.603333,0.681379,0.433181
0.620833,0.618333,0.702418,0.456965
0.590625,0.63,0.719341,0.481486
0.56875,0.633333,0.731861,0.506287
0.550521,0.633333,0.739865,0.530896
0.533333,0.631667,0.74335,0.554857
0.520833,0.624167,0.742482,0.57767
0.507812,0.6075,0.737477,0.598738
0.498437,0.585833,0.728669,0.617468
0.492708,0.568333,0.716495,0.633439
0.489062,0.5525,0.701445,0.646357
0.4875,0.536667,0.684049,0.656009
0.4875,0.52,0.664854,0.662247
0.489583,0.505833,0.644424,0.665046
0.494792,0.491667,0.623343,0.664445
0.502604,0.476667,0.602198,0.660523
0.509375,0.4625,0.581496,0.653429
0.519271,0.443333,0.561744,0.643263
0.529167,0.43,0.543381,0.630275
0.540625,0.419167,0.526805,0.614785
0.555729,0.411667,0.512407,0.597189
0.56875,0.409167,0.500463,0.577968
0.582292,0.405,0.491186,0.557555
0.595312,0.4,0.484711,0.536348
0.613542,0.391667,0.481203,0.514657
0.653125,0.376667,0.48114,0.492651
0.693229,0.355,0.484901,0.470368
0.722917,0.33,0.49257,0.447787
0.733333,0.315833,0.503806,0.425089
0.734896,0.313333,0.518078,0.402649
0.735417,0.3125,0.534835,0.38083
0.738542,0.306667,0.553583,0.359859
0.75,0.288333,0.573992,0.339697
0.763021,0.269167,0.595762,0.320281
0.76875,0.253333,0.618469,0.301603
0.769271,0.243333,0.64162,0.283743
0.765625,0.229167,0.664687,0.266686
0.756771,0.216667,0.687106,0.250435
0.747396,0.21,0.708368,0.235082
0.736458,0.205833,0.728009,0.220737
0.726562,0.2025,0.74566,0.207498
0.716667,0.199167,0.761024,0.195434
0.704167,0.196667,0.773829,0.184598
0.686979,0.195833,0.783789,0.175047
0.66875,0.195833,0.790683,0.166826
